"","p","pos","u","sim","target_fdr","method","empirical_fdr","power","n_selected"
"65046",200,100,0,46,0.15,"Zinck",0,0.333333333333333,10
"65047",200,100,0,47,0.15,"Zinck",0.294117647058824,0.4,17
"65048",200,100,0,48,0.15,"Zinck",0.0588235294117647,0.533333333333333,17
"65049",200,100,0,49,0.15,"Zinck",0.296296296296296,0.633333333333333,27
"65050",200,100,0,50,0.15,"Zinck",0,0.7,21
"65051",200,100,0,51,0.15,"Zinck",0.222222222222222,0.7,27
"65052",200,100,0,52,0.15,"Zinck",0.0666666666666667,0.466666666666667,15
"65053",200,100,0,53,0.15,"Zinck",0.272727272727273,0.533333333333333,22
"65054",200,100,0,54,0.15,"Zinck",0.682926829268293,0.433333333333333,41
"65055",200,100,0,55,0.15,"Zinck",0.1,0.3,10
"65056",200,100,0,56,0.15,"Zinck",0.25,0.5,20
"65057",200,100,0,57,0.15,"Zinck",0.2,0.266666666666667,10
"65058",200,100,0,58,0.15,"Zinck",0.25,0.5,20
"65059",200,100,0,59,0.15,"Zinck",0.333333333333333,0.6,27
"65060",200,100,0,60,0.15,"Zinck",0.28,0.6,25
"65061",200,100,0,61,0.15,"Zinck",0.391304347826087,0.466666666666667,23
"65062",200,100,0,62,0.15,"Zinck",0.125,0.466666666666667,16
"65063",200,100,0,63,0.15,"Zinck",0.392857142857143,0.566666666666667,28
"65064",200,100,0,64,0.15,"Zinck",0.0952380952380952,0.633333333333333,21
"65065",200,100,0,65,0.15,"Zinck",0.321428571428571,0.633333333333333,28
"65066",200,100,0,66,0.15,"Zinck",0,0.4,12
"65067",200,100,0,67,0.15,"Zinck",0,0.333333333333333,10
"65068",200,100,0,68,0.15,"Zinck",0.2,0.533333333333333,20
"65069",200,100,0,69,0.15,"Zinck",0.238095238095238,0.533333333333333,21
"65070",200,100,0,70,0.15,"Zinck",0.214285714285714,0.366666666666667,14
"65071",200,100,0,71,0.15,"Zinck",0.318181818181818,0.5,22
"65072",200,100,0,72,0.15,"Zinck",0.25,0.6,24
"65073",200,100,0,73,0.15,"Zinck",0.318181818181818,0.5,22
"65074",200,100,0,74,0.15,"Zinck",0.0666666666666667,0.466666666666667,15
"65075",200,100,0,75,0.15,"Zinck",0.15,0.566666666666667,20
"65076",200,100,0,76,0.15,"Zinck",0,0.333333333333333,10
"65077",200,100,0,77,0.15,"Zinck",0.217391304347826,0.6,23
"65078",200,100,0,78,0.15,"Zinck",0.0526315789473684,0.6,19
"65079",200,100,0,79,0.15,"Zinck",0.296296296296296,0.633333333333333,27
"65080",200,100,0,80,0.15,"Zinck",0.176470588235294,0.466666666666667,17
"65081",200,100,0,81,0.15,"Zinck",0.40625,0.633333333333333,32
"65082",200,100,0,82,0.15,"Zinck",0,0.366666666666667,11
"65083",200,100,0,83,0.15,"Zinck",0.1875,0.433333333333333,16
"65084",200,100,0,84,0.15,"Zinck",0.51219512195122,0.666666666666667,41
"65085",200,100,0,85,0.15,"Zinck",0.0714285714285714,0.433333333333333,14
"65086",200,100,0,86,0.15,"Zinck",0.142857142857143,0.6,21
"65087",200,100,0,87,0.15,"Zinck",0.387096774193548,0.633333333333333,31
"65088",200,100,0,88,0.15,"Zinck",0.142857142857143,0.4,14
"65089",200,100,0,89,0.15,"Zinck",0.2,0.533333333333333,20
"65090",200,100,0,90,0.15,"Zinck",0.0666666666666667,0.466666666666667,15
"65091",200,100,0,91,0.15,"Zinck",0.0833333333333333,0.366666666666667,12
"65092",200,100,0,92,0.15,"Zinck",0.36,0.533333333333333,25
"65093",200,100,0,93,0.15,"Zinck",0.357142857142857,0.3,14
"65094",200,100,0,94,0.15,"Zinck",0.0909090909090909,0.666666666666667,22
"65095",200,100,0,95,0.15,"Zinck",0,0.5,15
"65096",200,100,0,96,0.15,"Zinck",0.451612903225806,0.566666666666667,31
"65097",200,100,0,97,0.15,"Zinck",0.416666666666667,0.466666666666667,24
"65098",200,100,0,98,0.15,"Zinck",0.0526315789473684,0.6,19
"65099",200,100,0,99,0.15,"Zinck",0.371428571428571,0.733333333333333,35
"65100",200,100,0,100,0.15,"Zinck",0.0625,0.5,16
"65101",200,100,0,1,0.2,"Zinck",0.238095238095238,0.533333333333333,21
"65102",200,100,0,2,0.2,"Zinck",0.176470588235294,0.466666666666667,17
"65103",200,100,0,3,0.2,"Zinck",0.0625,0.5,16
"65104",200,100,0,4,0.2,"Zinck",0.433333333333333,0.566666666666667,30
"65105",200,100,0,5,0.2,"Zinck",0.125,0.466666666666667,16
"65106",200,100,0,6,0.2,"Zinck",0.153846153846154,0.733333333333333,26
"65107",200,100,0,7,0.2,"Zinck",0.3,0.466666666666667,20
"65108",200,100,0,8,0.2,"Zinck",0.333333333333333,0.6,27
"65109",200,100,0,9,0.2,"Zinck",0,0.166666666666667,5
"65110",200,100,0,10,0.2,"Zinck",0.333333333333333,0.4,18
"65111",200,100,0,11,0.2,"Zinck",0.3125,0.733333333333333,32
"65112",200,100,0,12,0.2,"Zinck",0.444444444444444,0.666666666666667,36
"65113",200,100,0,13,0.2,"Zinck",0.266666666666667,0.366666666666667,15
"65114",200,100,0,14,0.2,"Zinck",0.19047619047619,0.566666666666667,21
"65115",200,100,0,15,0.2,"Zinck",0.0625,0.5,16
"65116",200,100,0,16,0.2,"Zinck",0,0.666666666666667,20
"65117",200,100,0,17,0.2,"Zinck",0,0.566666666666667,17
"65118",200,100,0,18,0.2,"Zinck",0.15,0.566666666666667,20
"65119",200,100,0,19,0.2,"Zinck",NA,NA,0
"65120",200,100,0,20,0.2,"Zinck",0.117647058823529,0.5,17
"65121",200,100,0,21,0.2,"Zinck",0.133333333333333,0.433333333333333,15
"65122",200,100,0,22,0.2,"Zinck",0.125,0.466666666666667,16
"65123",200,100,0,23,0.2,"Zinck",0.166666666666667,0.5,18
